segment,value,numerator,denominator,rate,small_group_flag
claim_type,Institutional-IP,174,1861,0.09349811929070392,False
claim_type,Institutional-OP,419,3724,0.11251342642320086,False
claim_type,Professional,693,6754,0.10260586319218241,False
provider_specialty,ASC,93,929,0.10010764262648009,False
provider_specialty,Cardiology,20,151,0.13245033112582782,False
provider_specialty,Clinical Laboratory,25,243,0.102880658436214,False
provider_specialty,Critical Access Hospital,137,1172,0.11689419795221843,False
provider_specialty,DME Supplier,80,809,0.09888751545117429,False
provider_specialty,Diagnostic Radiology,4,68,0.058823529411764705,False
provider_specialty,Endocrinology,55,482,0.11410788381742738,False
provider_specialty,Family Medicine,57,572,0.09965034965034965,False
provider_specialty,Gastroenterology,23,193,0.11917098445595854,False
provider_specialty,General Acute Care Hospital,53,591,0.08967851099830795,False
provider_specialty,Geriatrics,48,492,0.0975609756097561,False
provider_specialty,Home Health,29,345,0.08405797101449275,False
provider_specialty,Internal Medicine,68,617,0.11021069692058347,False
provider_specialty,Nephrology,46,470,0.09787234042553192,False
provider_specialty,Neurology,18,265,0.06792452830188679,False
provider_specialty,OB/GYN,30,348,0.08620689655172414,False
provider_specialty,Oncology,47,384,0.12239583333333333,False
provider_specialty,Orthopedic Surgery,79,663,0.1191553544494721,False
provider_specialty,Outpatient Clinic,36,455,0.07912087912087912,False
provider_specialty,Pediatrics,53,478,0.1108786610878661,False
provider_specialty,Physical Therapy,50,379,0.13192612137203166,False
provider_specialty,Psychiatry,21,180,0.11666666666666667,False
provider_specialty,Pulmonology,47,523,0.08986615678776291,False
provider_specialty,SNF,103,933,0.11039657020364416,False
provider_specialty,Urology,64,597,0.10720268006700168,False
network_status,In-Network,1095,10370,0.1055930568948891,False
network_status,Out-of-Network,191,1969,0.09700355510411376,False
place_of_service,11,272,2655,0.10244821092278719,False
place_of_service,12,44,299,0.14715719063545152,False
place_of_service,20,31,349,0.08882521489971347,False
place_of_service,21,227,2444,0.09288052373158756,False
place_of_service,22,545,4946,0.1101900525677315,False
place_of_service,23,57,521,0.10940499040307101,False
place_of_service,31,18,206,0.08737864077669903,False
place_of_service,49,31,342,0.09064327485380116,False
place_of_service,50,22,204,0.10784313725490197,False
place_of_service,65,12,118,0.1016949152542373,False
place_of_service,81,27,255,0.10588235294117647,False
auth_required_flag,0,1112,10519,0.10571347086224926,False
auth_required_flag,1,174,1820,0.0956043956043956,False
