table,column,null_count,null_share
members,age_band,2,0.004
members,member_id,0,0.0
members,age,0,0.0
members,sex,0,0.0
members,race_ethnicity,0,0.0
members,state,0,0.0
members,zip_code,0,0.0
members,payer_type,0,0.0
members,plan_type,0,0.0
members,income_band,0,0.0
providers,provider_npi,0,0.0
providers,provider_type,0,0.0
providers,specialty,0,0.0
providers,nucc_taxonomy,0,0.0
providers,state,0,0.0
providers,network_status,0,0.0
providers,group_id,0,0.0
medical_claims,dx3,12845,1.0
medical_claims,dx4,12845,1.0
medical_claims,dx5,12845,1.0
medical_claims,modifier1,12845,1.0
medical_claims,modifier2,12845,1.0
medical_claims,denial_reason_desc,12845,1.0
medical_claims,auth_number,12845,1.0
medical_claims,fraud_pattern_type,12198,0.9496302063059556
medical_claims,denial_code_carc,11559,0.8998832230439859
medical_claims,drg_code,10914,0.8496691319579603
pharmacy_claims,rx_claim_id,0,0.0
pharmacy_claims,member_id,0,0.0
pharmacy_claims,fill_date,0,0.0
pharmacy_claims,paid_date,0,0.0
pharmacy_claims,pharmacy_npi,0,0.0
pharmacy_claims,prescriber_npi,0,0.0
pharmacy_claims,plan_id,0,0.0
pharmacy_claims,bin_number,0,0.0
pharmacy_claims,pcn_code,0,0.0
pharmacy_claims,ndc_11,0,0.0
adherence,member_id,0,0.0
adherence,therapeutic_class,0,0.0
adherence,total_days_supply,0,0.0
adherence,n_fills,0,0.0
adherence,pdc,0,0.0
adherence,mpr,0,0.0
adherence,adherence_flag_pdc80,0,0.0
