segment,value,numerator,denominator,rate,small_group_flag
place_of_service,11,272,2655,0.10244821092278719,False
place_of_service,12,44,299,0.14715719063545152,False
place_of_service,20,31,349,0.08882521489971347,False
place_of_service,21,227,2444,0.09288052373158756,False
place_of_service,22,545,4946,0.1101900525677315,False
place_of_service,23,57,521,0.10940499040307101,False
place_of_service,31,18,206,0.08737864077669903,False
place_of_service,49,31,342,0.09064327485380116,False
place_of_service,50,22,204,0.10784313725490197,False
place_of_service,65,12,118,0.1016949152542373,False
place_of_service,81,27,255,0.10588235294117647,False
network_status,In-Network,1095,10370,0.1055930568948891,False
network_status,Out-of-Network,191,1969,0.09700355510411376,False
auth_required_flag,0,1112,10519,0.10571347086224926,False
auth_required_flag,1,174,1820,0.0956043956043956,False
