table,column,null_count,null_share
members,member_id,0,0.0
members,age,0,0.0
members,age_band,2,0.004
members,sex,0,0.0
members,race_ethnicity,0,0.0
members,state,0,0.0
members,zip_code,0,0.0
members,payer_type,0,0.0
members,plan_type,0,0.0
members,income_band,0,0.0
members,dual_eligible_flag,0,0.0
members,lis_flag,0,0.0
members,hcc_risk_score,0,0.0
members,n_chronic_conditions,0,0.0
members,enrollment_start,0,0.0
members,enrollment_end,0,0.0
members,care_management_flag,0,0.0
members,ccw_ami,0,0.0
members,ccw_alzheimer,0,0.0
members,ccw_anemia,0,0.0
members,ccw_asthma,0,0.0
members,ccw_atrialfib,0,0.0
members,ccw_cataract,0,0.0
members,ccw_chrnkidn,0,0.0
members,ccw_copd,0,0.0
members,ccw_chf,0,0.0
members,ccw_diabetes,0,0.0
members,ccw_deprssion,0,0.0
members,ccw_hyperl,0,0.0
members,ccw_hyperp,0,0.0
members,ccw_ihd,0,0.0
members,ccw_mo_diabetes,0,0.0
members,ccw_osteoprs,0,0.0
members,ccw_ra_oa,0,0.0
members,ccw_stroke_tia,0,0.0
members,ccw_cancer_colorectal,0,0.0
members,ccw_cancer_endometrial,0,0.0
members,ccw_cancer_lung,0,0.0
members,ccw_cancer_prostate,0,0.0
members,ccw_cancer_breast,0,0.0
members,ccw_glaucoma,0,0.0
members,ccw_hip_fracture,0,0.0
members,ccw_hipvteib,0,0.0
members,ccw_bnign_prostate,0,0.0
providers,provider_npi,0,0.0
providers,provider_type,0,0.0
providers,specialty,0,0.0
providers,nucc_taxonomy,0,0.0
providers,state,0,0.0
providers,network_status,0,0.0
providers,group_id,0,0.0
medical_claims,claim_id,0,0.0
medical_claims,member_id,0,0.0
medical_claims,claim_type,0,0.0
medical_claims,service_date_from,0,0.0
medical_claims,service_date_to,0,0.0
medical_claims,adjudication_date,0,0.0
medical_claims,plan_id,0,0.0
medical_claims,rendering_npi,0,0.0
medical_claims,billing_npi,0,0.0
medical_claims,provider_specialty,0,0.0
medical_claims,network_status,0,0.0
medical_claims,primary_icd10_cm,0,0.0
medical_claims,dx2,0,0.0
medical_claims,dx3,12845,1.0
medical_claims,dx4,12845,1.0
medical_claims,dx5,12845,1.0
medical_claims,drg_code,10914,0.8496691319579603
medical_claims,drg_type,10914,0.8496691319579603
medical_claims,mdc_code,10914,0.8496691319579603
medical_claims,length_of_stay,0,0.0
medical_claims,poa_flag,10914,0.8496691319579603
medical_claims,cpt_code,0,0.0
medical_claims,cpt_category,0,0.0
medical_claims,modifier1,12845,1.0
medical_claims,modifier2,12845,1.0
medical_claims,revenue_code,7041,0.5481510315297782
medical_claims,place_of_service,0,0.0
medical_claims,pos_description,0,0.0
medical_claims,service_units,0,0.0
medical_claims,billed_amount,0,0.0
medical_claims,allowed_amount,0,0.0
medical_claims,paid_amount,0,0.0
medical_claims,member_deductible,0,0.0
medical_claims,member_copay,0,0.0
medical_claims,member_coinsurance,0,0.0
medical_claims,member_oop,0,0.0
medical_claims,cob_amount,0,0.0
medical_claims,claim_status,0,0.0
medical_claims,denial_code_carc,11559,0.8998832230439859
medical_claims,denial_reason_desc,12845,1.0
medical_claims,auth_required_flag,0,0.0
medical_claims,auth_number,12845,1.0
medical_claims,er_flag,0,0.0
medical_claims,preventive_flag,0,0.0
medical_claims,elective_flag,0,0.0
medical_claims,high_cost_flag,0,0.0
medical_claims,readmission_flag_30d,0,0.0
medical_claims,fraud_label,0,0.0
medical_claims,fraud_pattern_type,12198,0.9496302063059556
medical_claims,hedis_bcs,0,0.0
medical_claims,hedis_col,0,0.0
medical_claims,hedis_cdc_a1c,0,0.0
medical_claims,hedis_awv,0,0.0
medical_claims,hedis_depression,0,0.0
pharmacy_claims,rx_claim_id,0,0.0
pharmacy_claims,member_id,0,0.0
pharmacy_claims,fill_date,0,0.0
pharmacy_claims,paid_date,0,0.0
pharmacy_claims,pharmacy_npi,0,0.0
pharmacy_claims,prescriber_npi,0,0.0
pharmacy_claims,plan_id,0,0.0
pharmacy_claims,bin_number,0,0.0
pharmacy_claims,pcn_code,0,0.0
pharmacy_claims,ndc_11,0,0.0
pharmacy_claims,drug_name_generic,0,0.0
pharmacy_claims,drug_name_brand,0,0.0
pharmacy_claims,therapeutic_class,0,0.0
pharmacy_claims,atc_code,0,0.0
pharmacy_claims,formulary_tier,0,0.0
pharmacy_claims,days_supply,0,0.0
pharmacy_claims,quantity_dispensed,0,0.0
pharmacy_claims,refill_number,0,0.0
pharmacy_claims,pharmacy_type,0,0.0
pharmacy_claims,dispense_as_written_code,0,0.0
pharmacy_claims,specialty_rx_flag,0,0.0
pharmacy_claims,compounded_flag,0,0.0
pharmacy_claims,ingredient_cost,0,0.0
pharmacy_claims,dispensing_fee,0,0.0
pharmacy_claims,gross_amount_due,0,0.0
pharmacy_claims,copay_amount,0,0.0
pharmacy_claims,plan_paid,0,0.0
pharmacy_claims,dir_fee_amount,0,0.0
pharmacy_claims,awp_per_unit,0,0.0
pharmacy_claims,nadac_per_unit,0,0.0
pharmacy_claims,early_refill_flag,0,0.0
pharmacy_claims,fraud_label_rx,0,0.0
pharmacy_claims,diversion_flag,0,0.0
pharmacy_claims,controlled_substance_flag,0,0.0
pharmacy_claims,end_date,0,0.0
adherence,member_id,0,0.0
adherence,therapeutic_class,0,0.0
adherence,total_days_supply,0,0.0
adherence,n_fills,0,0.0
adherence,pdc,0,0.0
adherence,mpr,0,0.0
adherence,adherence_flag_pdc80,0,0.0
