group_by,group_value,n,claim_count,paid_amount_sum,denial_rate_numerator,denial_rate_denominator,denial_rate,fraud_rate_numerator,fraud_rate_denominator,fraud_rate,small_group_flag
provider_specialty,ASC,966,966,775948.8499999999,93,929,0.10010764262648009,51,966,0.052795031055900624,False
provider_specialty,Cardiology,157,157,93897.51999999999,20,151,0.13245033112582782,9,157,0.05732484076433121,False
provider_specialty,Clinical Laboratory,254,254,168400.07,25,243,0.102880658436214,16,254,0.06299212598425197,False
provider_specialty,Critical Access Hospital,1225,1225,898337.3600000001,137,1172,0.11689419795221843,54,1225,0.044081632653061226,False
provider_specialty,DME Supplier,841,841,634611.68,80,809,0.09888751545117429,38,841,0.04518430439952437,False
provider_specialty,Diagnostic Radiology,71,71,66168.88,4,68,0.058823529411764705,5,71,0.07042253521126761,False
provider_specialty,Endocrinology,509,509,419000.4199999999,55,482,0.11410788381742738,22,509,0.043222003929273084,False
provider_specialty,Family Medicine,586,586,489734.37,57,572,0.09965034965034965,29,586,0.04948805460750853,False
provider_specialty,Gastroenterology,200,200,135994.03999999998,23,193,0.11917098445595854,12,200,0.06,False
provider_specialty,General Acute Care Hospital,619,619,463652.27,53,591,0.08967851099830795,23,619,0.03715670436187399,False
provider_specialty,Geriatrics,515,515,409148.24,48,492,0.0975609756097561,35,515,0.06796116504854369,False
provider_specialty,Home Health,358,358,265949.32999999996,29,345,0.08405797101449275,18,358,0.05027932960893855,False
provider_specialty,Internal Medicine,636,636,453841.47000000003,68,617,0.11021069692058347,33,636,0.05188679245283019,False
provider_specialty,Nephrology,493,493,310059.45999999996,46,470,0.09787234042553192,20,493,0.04056795131845842,False
provider_specialty,Neurology,271,271,213627.25999999998,18,265,0.06792452830188679,19,271,0.07011070110701106,False
provider_specialty,OB/GYN,363,363,304013.21,30,348,0.08620689655172414,18,363,0.049586776859504134,False
provider_specialty,Oncology,405,405,287539.79000000004,47,384,0.12239583333333333,21,405,0.05185185185185185,False
provider_specialty,Orthopedic Surgery,685,685,442598.51,79,663,0.1191553544494721,43,685,0.06277372262773723,False
provider_specialty,Outpatient Clinic,481,481,365534.05000000005,36,455,0.07912087912087912,31,481,0.06444906444906445,False
provider_specialty,Pediatrics,499,499,414771.48,53,478,0.1108786610878661,29,499,0.05811623246492986,False
provider_specialty,Physical Therapy,399,399,299024.70999999996,50,379,0.13192612137203166,20,399,0.05012531328320802,False
provider_specialty,Psychiatry,191,191,146237.02000000002,21,180,0.11666666666666667,9,191,0.04712041884816754,False
provider_specialty,Pulmonology,543,543,407541.67000000004,47,523,0.08986615678776291,25,543,0.04604051565377532,False
provider_specialty,SNF,964,964,833672.8600000001,103,933,0.11039657020364416,36,964,0.03734439834024896,False
provider_specialty,Urology,614,614,484111.25,64,597,0.10720268006700168,31,614,0.050488599348534204,False
provider_specialty+network_status,ASC|In-Network,799,799,644206.1799999999,73,768,0.09505208333333333,41,799,0.05131414267834793,False
provider_specialty+network_status,ASC|Out-of-Network,167,167,131742.67,20,161,0.12422360248447205,10,167,0.059880239520958084,False
provider_specialty+network_status,Cardiology|In-Network,157,157,93897.51999999999,20,151,0.13245033112582782,9,157,0.05732484076433121,False
provider_specialty+network_status,Clinical Laboratory|In-Network,164,164,105964.55,17,158,0.10759493670886076,12,164,0.07317073170731707,False
provider_specialty+network_status,Clinical Laboratory|Out-of-Network,90,90,62435.520000000004,8,85,0.09411764705882353,4,90,0.044444444444444446,False
provider_specialty+network_status,Critical Access Hospital|In-Network,944,944,648344.4400000001,115,908,0.12665198237885464,37,944,0.03919491525423729,False
